Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
1122;98380;Orchis spitzelii;alpnycklar;Art;7;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;C1
223618;98381;Orchis mascula × spitzelii;Sankt Pers nycklar × alpnycklar;Hybrid;0;Jordbrukslandskap (J) - Stor betydelse;NA;
219874;98383;Platanthera bifolia;nattviol;Art;32531;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;LC;
223619;98384;Platanthera bifolia subsp. bifolia;ängsnattviol;Underart;3775;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse;NT;A2bc
223621;98385;Platanthera bifolia subsp. latiflora;skogsnattviol;Underart;2548;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Våtmark (V) - Har betydelse;LC;
219875;98386;Platanthera chlorantha;grönvit nattviol;Art;21191;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;LC;
6002735;98387;Platanthera clavellata;;Art;1;Urban miljö (U) - Stor betydelse;NA;
264982;98388;Platanthera hyperborea;grönlandsyxne;Art;0;;NA;
1248;98389;Platanthera obtusata;lappfela;Art;0;Fjäll (F) - Stor betydelse;EN;D
223622;98390;Platanthera obtusata subsp. oligantha;lappfela;Underart;0;Fjäll (F) - Stor betydelse;NE;
6010645;98391;Platanthera bifolia × chlorantha;nattviol × grönvit nattviol;Hybrid;85;Jordbrukslandskap (J) - Stor betydelse;NA;
223620;98392;Platanthera bifolia subsp. bifolia × chlorantha;ängsnattviol × grönvit nattviol;Hybrid;47;Jordbrukslandskap (J) - Stor betydelse;NA;
264981;98393;Platanthera bifolia subsp. latiflora × chlorantha;skogsnattviol × grönvit nattviol;Hybrid;6;;NA;
975;98395;Pseudorchis albida;vityxne;Art;5;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;EN;C2a(i)
219882;98396;Pseudorchis straminea;fjällyxne;Art;1406;Fjäll (F) - Stor betydelse;LC;
264983;98398;Spiranthes sinensis;;Art;0;;NA;
219894;98399;Spiranthes spiralis;skruvax;Art;119;Jordbrukslandskap (J) - Stor betydelse;NA;
223617;98400;Anacamptis morio × Orchis mascula;göknycklar × Sankt Pers nycklar;Hybrid;1;Jordbrukslandskap (J) - Stor betydelse;NA;
