Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
1665;102867;Viola selkirkii;skuggviol;Art;1511;Skog (S) - Stor betydelse;NT;B2ab(iii,v)
222011;102871;Viola tricolor;styvmorsviol;Art;33609;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;LC;
1666;102874;Viola uliginosa;sumpviol;Art;3121;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;"A2b; B2ab(ii,iii)"
223281;102984;Salix arbuscula;risvide;Art;967;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
225176;102991;Salix bebbiana;finnvide;Art;1307;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
223284;102996;Salix caprea;sälg;Art;72767;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse, Våtmark (V) - Har betydelse;LC;
225139;103025;Salix hastata subsp. subintegrifolia;finnblekvide;Underart;1178;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;LC;
223297;103046;Salix myrsinites;glansvide;Art;2578;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
223300;103054;Salix phylicifolia;grönvide;Art;18013;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse;LC;
223303;103058;Salix repens;hundvide;Art;25099;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Fjäll (F) - Har betydelse, Våtmark (V) - Har betydelse;LC;
225173;103060;Salix repens var. argentea;sandvide;Varietet;843;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;NE;
221968;103266;Euphorbia palustris;kärrtörel;Art;2614;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
221987;103284;Mercurialis perennis;skogsbingel;Art;11930;Skog (S) - Stor betydelse;LC;
221983;103293;Linum catharticum;vildlin;Art;19485;Jordbrukslandskap (J) - Stor betydelse;LC;
1910;103298;Radiola linoides;dvärglin;Art;4370;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;"A2b; B2ab(iii,iv,v)"
706;103325;Geranium bohemicum;svedjenäva;Art;4629;Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(v)
221471;103330;Geranium columbinum;duvnäva;Art;6602;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;LC;
222087;103397;Lythrum salicaria;fackelblomster;Art;29878;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Sötvatten (L) - Har betydelse;LC;
222395;103417;Circaea alpina;dvärghäxört;Art;6311;Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse;LC;
222061;103430;Epilobium alsinifolium;källdunört;Art;1250;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
222069;103439;Epilobium hornemannii;fjälldunört;Art;4045;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
222072;103443;Epilobium laestadii;lappdunört;Art;107;Våtmark (V) - Stor betydelse, Fjäll (F) - Har betydelse;LC;
222412;103791;Daphne mezereum;tibast;Art;29820;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
1884;103798;Fumana procumbens;gotlandssolvända;Art;1551;Jordbrukslandskap (J) - Stor betydelse;LC;
220164;103802;Helianthemum nummularium;solvända;Art;20765;Jordbrukslandskap (J) - Stor betydelse;NT;A2b
1886;103806;Helianthemum oelandicum;ölandssolvända;Art;2725;Jordbrukslandskap (J) - Stor betydelse;LC;
1852;103843;Alyssum alyssoides;grådådra;Art;5876;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NT;B2ab(ii,iii,v)
220423;103871;Arabis hirsuta;lundtrav;Art;12067;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;LC;
220449;103935;Cakile maritima;marviol;Art;5237;Havsstrand (H) - Stor betydelse;LC;
221178;103961;Cardamine amara;bäckbräsma;Art;15819;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;LC;
220460;103963;Cardamine bulbifera;tandrot;Art;11982;Skog (S) - Stor betydelse;LC;
220467;103976;Cardamine pratensis;ängsbräsma;Art;29747;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;LC;
220474;103992;Cochlearia officinalis;skörbjuggsört;Art;3827;Havsstrand (H) - Stor betydelse;LC;
220482;104010;Crambe maritima;strandkål;Art;4344;Havsstrand (H) - Stor betydelse;LC;
220494;104033;Draba glabella;fjälldraba;Art;556;Fjäll (F) - Stor betydelse;LC;
220496;104036;Draba incana;grådraba;Art;1609;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;LC;
220498;104039;Draba muralis;lunddraba;Art;4128;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;LC;
1939;104088;Erucastrum supinum;kalkkrassing;Art;3199;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
220517;104100;Erysimum strictum;bergkårel;Art;3912;Jordbrukslandskap (J) - Stor betydelse, Fjäll (F) - Har betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;LC;
222518;104121;Hornungia petraea;stenkrassing;Art;2582;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
219842;104135;Isatis tinctoria;vejde;Art;3173;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;LC;
220540;104152;Lepidium latifolium;bitterkrassing;Art;1593;Havsstrand (H) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
1000;104168;Lunaria rediviva;månviol;Art;1267;Skog (S) - Stor betydelse;NT;B2a
220604;104262;Subularia aquatica;sylört;Art;6638;Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse, Våtmark (V) - Har betydelse;LC;
220605;104264;Teesdalia nudicaulis;sandkrassing;Art;6437;Jordbrukslandskap (J) - Stor betydelse;LC;
1560;104274;Thesium alpinum;spindelört;Art;5228;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii,v)
220649;104293;Armeria maritima;trift;Art;13893;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;LC;
220685;104325;Bistorta vivipara;ormrot;Art;31539;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;LC;
220833;104341;Oxyria digyna;fjällsyra;Art;1917;Fjäll (F) - Stor betydelse;LC;
221909;104343;Persicaria amphibia;vattenpilört;Art;17519;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse;LC;
1263;104346;Persicaria foliosa;ävjepilört;Art;1781;Havsstrand (H) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Brackvatten (B) - Har betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(ii,iii)
220869;104415;Rumex acetosella;bergssyra;Art;47680;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;LC;
220877;104430;Rumex crispus;krusskräppa;Art;29439;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;LC;
220881;104445;Rumex longifolius;gårdsskräppa;Art;26328;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;LC;
220888;104463;Rumex pseudonatronatus;finnskräppa;Art;126;Havsstrand (H) - Stor betydelse;LC;
220120;104531;Drosera anglica;storsileshår;Art;18940;Våtmark (V) - Stor betydelse;LC;
220772;104533;Drosera intermedia;småsileshår;Art;6706;Våtmark (V) - Stor betydelse;LC;
220773;104534;Drosera rotundifolia;rundsileshår;Art;34906;Våtmark (V) - Stor betydelse;LC;
1857;104545;Arenaria gothica;kalknarv;Art;1061;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2a
1858;104549;Arenaria norvegica;skrednarv;Art;477;Fjäll (F) - Stor betydelse;NT;B2a
