Dyntaxa ID number,Establishment,Växtsätt,kontroll,Växtnamn,Medelhöjd (cm),Maxhöjd (cm),Blomningsstart,Blomningsslut,Phenology,Börjar Blomma,Extreme phenology,Sena,Blommande?,Blomfärg
220826,Resident,Ört,#REF!,Molopospermum peleponnesiacum (L.) W. D. J. Koch,80,150,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Vit
221725,Resident,Ört,#REF!,Moneses uniflora (L.) A. Gray,5,20,Juni,Juli,8,8. B Jun,1,22-jun,Ja,Vit
6002870,Resident,Ört,#REF!,Monotropa hypopitys ssp. hypophegea,10,30,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Grön
224099,Resident,Ört,#REF!,Monotropa hypopitys ssp. hypopitys,10,40,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Grön
1064,Resident,Ört,#REF!,Montia arvensis Wallr.,5,20,Juni,Augusti,5,5. S Apr,4,06-aug,Ja,Vit
220828,Resident,Ört,#REF!,Montia fontana L.,5,20,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Vit
223502,Resident,Ört,#REF!,Muscari armeniacum Leichtlin ex Baker,10,20,April,Maj,4,4. B Apr,5,21-aug,Ja,Blå
219852,Resident,Ört,#REF!,Muscari azureum Fenzl,10,20,April,Maj,4,4. B Apr,5,21-aug,Ja,Blå
219853,Resident,Ört,#REF!,Muscari botryoides (L.) Mill.,10,20,Mars,April,4,4. B Apr,5,21-aug,Ja,Blå
235023,Non-resident,Ört,#REF!,Muscari latifolium J.Kirk,10,30,April,Maj,5,5. S Apr,4,06-aug,Ja,Blå
220257,Resident,Ört,#REF!,Myosotis arvensis (L.) Hill,10,40,Juni,Augusti,6,6.B Maj,3,22-jul,Ja,Blå
221541,Resident,Ört,#REF!,Myosotis decumbens Host,5,20,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Blå
221542,Resident,Ört,#REF!,Myosotis discolor Pers.,5,15,April,Juni,5,5. S Apr,4,06-aug,Ja,"Blå, gul, vit"
221543,Resident,Ört,#REF!,Myosotis laxa Lehm.,10,40,Juni,Augusti,9,9. S Jun,2,07-jul,Ja,Blå
221545,Resident,Ört,#REF!,Myosotis ramosissima Rochel,5,15,April,Juni,5,5. S Apr,4,06-aug,Ja,Blå
221546,Resident,Ört,#REF!,Myosotis scorpioides L.,10,40,Juni,Augusti,7,7.S Maj,2,07-jul,Ja,Blå
221548,Resident,Ört,#REF!,Myosotis stricta Link ex Roem. & Schult.,5,20,April,Juni,5,5. S Apr,4,06-aug,Ja,Blå
221549,Resident,Ört,#REF!,Myosotis sylvatica Ehrh. ex Hoffm.,10,30,Maj,Juli,6,6.B Maj,3,22-jul,Ja,Blå
221550,Resident,Ört,#REF!,Myosoton aquaticum (L.) Moench,20,60,Juni,September,10,10. B Jul,3,22-jul,Ja,Vit
220831,Resident,Ört,#REF!,Myosurus minimus L.,5,20,Maj,Juni,4,4. B Apr,5,21-aug,Ja,Vit
222859,Resident,Buske,#REF!,Myrica gale L.,50,150,Maj,Juli,5,5. S Apr,4,06-aug,Ja,Grön
1898,Resident,Buske,#REF!,Myricaria germanica (L.) Desv.,100,300,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Rosa
220832,Resident,Vattenväxt,#REF!,Myriophyllum alterniflorum DC.,30,100,Juli,Augusti,8,8. B Jun,1,22-jun,Ja,Grön
259679,Resident,Vattenväxt,#REF!,Myriophyllum hippuroides Nutt. ex Torr. & A. Gray,50,150,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
223346,Resident,Vattenväxt,#REF!,Myriophyllum sibiricum Kom.,20,100,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
223347,Resident,Vattenväxt,#REF!,Myriophyllum spicatum L.,50,200,Juli,Augusti,8,8. B Jun,1,22-jun,Ja,Rödaktig
223348,Resident,Vattenväxt,#REF!,Myriophyllum verticillatum L.,30,150,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Grön
223349,Resident,Ört,#REF!,Myrrhis odorata (L.) Scop.,50,150,Maj,Juni,7,7.S Maj,2,07-jul,Ja,Vit
1077,Resident,Vattenväxt,#REF!,Najas flexilis (Willd.) Rostk. & W. L. E. Schmidt,10,50,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Grön
219579,Resident,Vattenväxt,#REF!,Najas marina L.,30,100,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
219857,Resident,Ört,#REF!,Narcissus × incomparabilis Mill.,20,40,Mars,April,5,5. S Apr,4,06-aug,Ja,Gul
219859,Resident,Ört,#REF!,Narcissus poëticus L.,20,50,April,Maj,6,6.B Maj,3,22-jul,Ja,Vit
219860,Resident,Ört,#REF!,Narcissus pseudonarcissus L.,20,50,Mars,April,3,3. S Mar,6,05-sep,Ja,Gul
219861,Resident,Gräs,#REF!,Nardus stricta L.,10,50,Juni,Augusti,9,9. S Jun,2,07-jul,Ja,Grön
222592,Resident,Ört,#REF!,Narthecium ossifragum (L.) Huds.,10,30,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Gul
220564,Resident,Vattenväxt,#REF!,Nasturtium × sterile (Airy Shaw) Oefelein,10,50,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
1394,Resident,Ört,#REF!,Nasturtium microphyllum (Boenn. ex Rchb.) Rchb.,10,30,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Vit
1395,Resident,Vattenväxt,#REF!,Nasturtium officinale W. T. Aiton,20,60,Juni,September,8,8. B Jun,1,22-jun,Ja,Vit
221119,Resident,Ört,#REF!,Neotinea ustulata (L.) R. M. Bateman et al.,10,30,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Rosa
221952,Resident,Ört,#REF!,Neottia cordata (L.) Rich.,10,30,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Grön
219862,Resident,Ört,#REF!,Neottia nidus-avis (L.) Rich.,10,40,Maj,Juni,8,8. B Jun,1,22-jun,Ja,Brun
219847,Resident,Ört,#REF!,Neottia ovata (L.) Buff. & Fingerh.,10,50,Juni,Juli,7,7.S Maj,2,07-jul,Ja,Vit
221728,Non-resident,Ört,#REF!,Nepeta × faassenii Bergmans ex Stearn,30,80,Juni,September, ,Ingen data, ,Ingen data,Ja,Blå
1082,Resident,Ört,#REF!,Nepeta cataria L.,30,100,Juli,September,11,11. S Jul,4,06-aug,Ja,Vit
221729,Resident,Ört,#REF!,Nepeta grandiflora M. Bieb.,50,100,Juni,Augusti,12,12. B Aug,5,21-aug,Ja,Blå
221731,Non-resident,Ört,#REF!,Nepeta racemosa Lam.,30,50,Juni,Augusti,6,6.B Maj,3,22-jul,Ja,Blå
221630,Non-resident,Ört,#REF!,Nepeta sibirica L.,30,100,Juni,Juli, ,Ingen data, ,Ingen data,Ja,Blå
1084,Resident,Ört,#REF!,Neslia paniculata (L.) Desv.,20,60,Juni,Augusti,9,9. S Jun,2,07-jul,Ja,Gul
220568,Resident,Ört,#REF!,Nicandra physalodes (L.) Gaertn.,50,150,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,"Blå, lila"
222860,Non-resident,Ört,#REF!,Nigella damascena L.,20,50,Juni,Augusti,12,12. B Aug,5,21-aug,Ja,Blå
220607,Resident,Ört,#REF!,Noccaea caerulescens (J. Presl & C. Presl) F. K. Mey,10,40,Maj,Juni,3,3. S Mar,6,05-sep,Ja,Vit
220609,Resident,Ört,#REF!,Noccaea perfoliata (L.) F.K.Mey,10,40,Juni,Augusti,4,4. B Apr,5,21-aug,Ja,Vit
223457,Non-resident,Ört,#REF!,Nonea lutea (Desr.) DC.,20,50,Maj,Juni,4,4. B Apr,5,21-aug,Ja,Gul
221551,Resident,Ört,#REF!,Nonea pulla DC.,10,30,Maj,Juni, ,Ingen data, ,Ingen data,Ja,Lila
1094,Resident,Ört,#REF!,Nonea versicolor (Steven) Sweet,10,50,Juni,Augusti,10,10. B Jul,3,22-jul,Ja,Lila
6012036,Resident,Vattenväxt,#REF!,Nuphar advena (Aiton) W. T. Aiton,30,100,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Gul
221553,Resident,Vattenväxt,#REF!,Nuphar lutea (L.) Sm.,50,150,Juli,Augusti,8,8. B Jun,1,22-jun,Ja,Gul
222108,Resident,Vattenväxt,#REF!,Nuphar pumila (Timm) DC.,10,40,Juli,Augusti, ,Ingen data, ,Ingen data,Ja,Gul
6012037,Non-resident,Vattenväxt,#REF!,Nymphaea × marliacea Lat.-Marl.,30,100,Juli,Augusti,10,10. B Jul,3,22-jul,Ja,Vit
6012038,Resident,Vattenväxt,#REF!,Nymphaea × thiona D. B. Ward,30,80,Juni,Augusti, ,Ingen data, ,Ingen data,Ja,Gul
221733,Resident,Vattenväxt,#REF!,Nymphaea alba L.,10,150,Juni,Augusti,8,8. B Jun,1,22-jun,Ja,Vit
222110,Resident,Vattenväxt,#REF!,Nymphoides peltata (S. G. Gmel.) Kuntze,20,80,Juni,Augusti,10,10. B Jul,3,22-jul,Ja,Gul
221734,Resident,Ört,#REF!,Odontites litoralis (Fr.) Fr.,10,50,Juli,Augusti,8,8. B Jun,1,22-jun,Ja,Röd
221735,Resident,Ört,#REF!,Odontites vernus (Bellardi) Dumort.,10,50,Juli,Augusti,11,11. S Jul,4,06-aug,Ja,Röd
221736,Resident,Ört,#REF!,Odontites vulgaris Moench,10,40,Juli,September,11,11. S Jul,4,06-aug,Ja,Röd
