_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
100118,on,Juglandaceae,Carya,,,100118,Ragonot,Pyralidae,Acrobasis,caryivorella,,,Nearctic
100470,on,Gramineae,Puccinellia,maritima,,100470,Hübner,Pyralidae,Agriphila,selasella,,,British Isles
99724,on,Convolvulaceae,Convolvulus,,,99724,Linnaeus,Pterophoridae,Pterophorus,pentadactyla,,,Europe
100119,,Juglandaceae,Carya,illinoinensis,,100119,Neunzig,Pyralidae,Acrobasis,caulivorella,,,Nearctic
100476,on stems,Gramineae,,,,100476,Denis & Schiff.,Pyralidae,Agriphila,straminella,,,British Isles
100123,,Fagaceae,Quercus,douglasii,,100123,Ragonot,Pyralidae,Acrobasis,comptella,,,Nearctic
100479,on stems,Gramineae,Deschampsia,cespitosa,,100479,Denis & Schiff.,Pyralidae,Agriphila,tristella,,,British Isles
100125,,Fagaceae,Quercus,garryana,,100125,Ragonot,Pyralidae,Acrobasis,comptella,,,Nearctic
100484,on grasses/grain,Gramineae,,,,100484,Clemens,Pyralidae,Agriphila,vulgivagellus,,,Nearctic
100126,,Fagaceae,Quercus,turbinella,,100126,Ragonot,Pyralidae,Acrobasis,comptella,,,Nearctic
100132,,Myricaceae,Myrica,,,100132,Hulst,Pyralidae,Acrobasis,comptoniella,,,Nearctic
100134,,Myricaceae,Myrica,gale,,100134,Hulst,Pyralidae,Acrobasis,comptoniella,,,Nearctic
100135,,Myricaceae,Myrica,pensylvanica,,100135,Hulst,Pyralidae,Acrobasis,comptoniella,,,Nearctic
100148,in buds/stems,Juglandaceae,Juglans,nigra,,100148,Grote,Pyralidae,Acrobasis,demotella,,,Nearctic
100506,on,Betulaceae,Betula,,,100506,Scopoli,Pyralidae,Agrotera,nemoralis,,,British Isles
100507,on,Corylaceae,Carpinus,,,100507,Scopoli,Pyralidae,Agrotera,nemoralis,,,British Isles
100181,,Rosaceae,Crataegus,,,100181,Zeller,Pyralidae,Acrobasis,indigenella,,,Nearctic
100520,,Capparaceae,Capparis,cynophallophora,,100520,Möschler,Pyralidae,Alatuncusia,bergii,,,Nearctic
101091,,Cactaceae,Echinocereus,rigidissimus,,101091,Barnes & McDunn.,Pyralidae,Cactobrosis,strigalis,,,Nearctic
100523,,Cactaceae,,,,100523,Dyar,Pyralidae,Alberada,parabates,,,Nearctic
100186,,Rosaceae,Eriobotrya,japonica,,100186,Zeller,Pyralidae,Acrobasis,indigenella,,,Nearctic
